"environment","id","name","active","updatedAt"
"production","CDST_DeadLetterRecovery_v1","CDST_DeadLetterRecovery_v1",false,"2026-08-23T02:08:59.892Z"
"production","CdstWF1001","WF-10_CALL_LIFECYCLE",false,"2026-07-21T11:45:52.828Z"
"production","CodestraCP21","CP-21-SMS.DELIVERED-V1",false,"2026-08-23T02:06:27.161Z"
"production","MailDeliveryV1T1","MailDeliveryStatusV1",false,"2026-08-22T16:50:41.123Z"
"production","moneybee_documents_partial","moneybee_documents_partial",false,"2026-08-23T02:10:27.105Z"
"production","CodestraCP30","CP-30-CRAWLER.JOB.FAILED-V1",false,"2026-08-23T02:06:53.134Z"
"production","MailReconV1TS001","MailReconciliationV1",false,"2026-08-22T16:50:41.123Z"
"production","CodestraCP28","CP-28-CRAWLER.RESULT.CREATED-V1",false,"2026-08-23T02:06:47.250Z"
"production","CDST_LeadAssignment_v1","CDST_LeadAssignment_v1",false,"2026-08-23T02:09:28.487Z"
"production","CdstWF0000","WF-00_CODESTRA_EVENT_ROUTER",false,"2026-07-21T11:45:52.828Z"
"production","CDST_DocumentReceived_v1","CDST_DocumentReceived_v1",false,"2026-08-23T02:09:05.581Z"
"production","student_counselor_appointment","student_counselor_appointment",false,"2026-08-23T02:11:13.695Z"
"production","CDST_EventRouter_v2","CDST_EventRouter_v2",false,"2026-08-23T02:09:20.026Z"
"production","codestra_discovery_scheduled","codestra_discovery_scheduled",false,"2026-08-23T02:10:00.611Z"
"production","transportation_repeat_load","transportation_repeat_load",false,"2026-08-23T02:11:51.744Z"
"production","CodestraCallbackEscalationV1","CallbackEscalationV1",false,"2026-08-22T17:06:12.912Z"
"production","CodestraCP29","CP-29-CRAWLER.JOB.COMPLETED-V1",false,"2026-08-23T02:06:50.076Z"
"production","codestra_contract_sent","codestra_contract_sent",false,"2026-08-23T02:09:51.866Z"
"production","moneybee_funding_followup","moneybee_funding_followup",false,"2026-08-23T02:10:32.975Z"
"production","CDST_SMSAuthorizedSend_v1","CDST_SMSAuthorizedSend_v1",false,"2026-08-23T02:09:40.170Z"
"production","CdstWF3003","WF-30_LEAD_INTELLIGENCE",false,"2026-07-21T11:45:52.828Z"
"production","CodestraCP37","CP-37-SMS.EXPIRED-V1",false,"2026-08-23T02:07:13.300Z"
"production","CDST_FollowupDue_v1","CDST_FollowupDue_v1",false,"2026-08-23T02:09:22.950Z"
"production","senior_delivery_followup","senior_delivery_followup",false,"2026-08-23T02:10:50.758Z"
"production","CDST_CallbackOverdue_v1","CDST_CallbackOverdue_v1",false,"2026-08-23T02:08:36.774Z"
"production","CDST_ManagerEscalation_v1","CDST_ManagerEscalation_v1",false,"2026-08-23T02:09:31.439Z"
"production","CdstWF4004","WF-40_SALES_AND_HOT_LEADS",false,"2026-07-21T11:45:52.828Z"
"production","senior_shipped","senior_shipped",false,"2026-08-23T02:11:05.001Z"
"production","senior_product_selected","senior_product_selected",false,"2026-08-23T02:10:59.386Z"
"production","MailBounceV1TS01","MailBounceV1",false,"2026-08-22T16:50:41.123Z"
"production","moneybee_offer_sent","moneybee_offer_sent",false,"2026-08-23T02:10:35.960Z"
"production","codestra_discovery_completed","codestra_discovery_completed",false,"2026-08-23T02:09:57.785Z"
"production","moneybee_renewal","moneybee_renewal",false,"2026-08-23T02:10:44.881Z"
"production","CodestraCallbackScheduledV1","CallbackScheduledV1",false,"2026-08-22T17:06:12.912Z"
"production","CDST_AIWorkCompleted_v1","CDST_AIWorkCompleted_v1",false,"2026-08-23T02:08:16.461Z"
"production","CDST_AgentNoShow_v1","CDST_AgentNoShow_v1",false,"2026-08-23T02:08:22.090Z"
"production","CDST_SupervisorEscalation_v1","CDST_SupervisorEscalation_v1",false,"2026-08-23T02:09:46.055Z"
"production","CodestraCP25","CP-25-EMAIL.BOUNCED-V1",false,"2026-08-23T02:06:38.654Z"
"production","CodestraCP33","CP-33-EMAIL.DEFERRED-V1",false,"2026-08-23T02:07:01.503Z"
"production","CdstWF6006","WF-60_QA_AND_COMPLIANCE",false,"2026-07-21T11:45:52.828Z"
"production","CdstWF5005","WF-50_AGENT_AND_QUEUE_MONITORING",false,"2026-07-21T11:45:52.828Z"
"production","moneybee_post_funding","moneybee_post_funding",false,"2026-08-23T02:10:38.889Z"
"production","CDST_DailyAdminReport_v1","CDST_DailyAdminReport_v1",false,"2026-08-23T02:08:48.280Z"
"production","CDST_SMSReplyReceived_v1","CDST_SMSReplyReceived_v1",false,"2026-08-23T02:09:43.034Z"
"production","CodestraCallbackCompletedV1","CallbackCompletedV1",false,"2026-08-22T17:06:12.912Z"
"production","transportation_pickup_reminder","transportation_pickup_reminder",false,"2026-08-23T02:11:42.809Z"
"production","codestra_deposit_received","codestra_deposit_received",false,"2026-08-23T02:09:54.801Z"
"production","CDST_NextActionCreated_v1","CDST_NextActionCreated_v1",false,"2026-08-23T02:09:34.296Z"
"production","transportation_delivery_followup","transportation_delivery_followup",false,"2026-08-23T02:11:36.895Z"
"production","CodestraCP35","CP-35-CRM.LEAD.UPDATED-V1",false,"2026-08-23T02:07:07.346Z"
"production","student_documents_requested","student_documents_requested",false,"2026-08-23T02:11:19.474Z"
"production","CDST_DocumentRequested_v1","CDST_DocumentRequested_v1",false,"2026-08-23T02:09:08.498Z"
"production","CodestraCallbackDueV1","CallbackDueV1",false,"2026-08-22T17:06:12.912Z"
"production","CodestraCallbackMissedV1","CallbackMissedV1",false,"2026-08-22T17:06:12.912Z"
"production","CDST_DocumentMissing_v1","CDST_DocumentMissing_v1",false,"2026-08-23T02:09:02.792Z"
"production","moneybee_application_started","moneybee_application_started",false,"2026-08-23T02:10:21.254Z"
"production","CDST_Appointment1HourReminder_v1","CDST_Appointment1HourReminder_v1",false,"2026-08-23T02:08:25.100Z"
"production","CodestraCP34","CP-34-CRM.LEAD.CREATED-V1",false,"2026-08-23T02:07:04.388Z"
"production","CDST_EmailReplyReceived_v1","CDST_EmailReplyReceived_v1",false,"2026-08-23T02:09:11.373Z"
"production","CDST_FollowupOverdue_v1","CDST_FollowupOverdue_v1",false,"2026-08-23T02:09:25.742Z"
"production","CDST_DailyAgentReport_v1","CDST_DailyAgentReport_v1",false,"2026-08-23T02:08:51.146Z"
"production","CdstWF9008","WF-90_ERROR_AND_DEAD_LETTER",false,"2026-07-21T11:45:52.828Z"
"production","student_submission","student_submission",false,"2026-08-23T02:11:31.123Z"
"production","moneybee_additional_info","moneybee_additional_info",false,"2026-08-23T02:10:18.328Z"
"production","CDST_ErrorHandler_v1","CDST_ErrorHandler_v1",false,"2026-08-23T02:09:17.248Z"
"production","CodestraCallbackReminderV1","CallbackReminderV1",false,"2026-08-22T17:06:12.912Z"
"production","CDST_AIHumanHandoff_v1","CDST_AIHumanHandoff_v1",false,"2026-08-23T02:08:13.588Z"
